Major_category,Major,Major_short
Education,Mathematics Teacher Education,Mathematics Teacher Education
Education,Educational Administration And Supervision,Educational Administration & Supervision
Health,Health And Medical Preparatory Programs,Health & Medical Preparatory Programs
Biology & Life Science,Miscellaneous Biology,Miscellaneous Biology
Biology & Life Science,Biology,Biology
Social Science,Sociology,Sociology
Communications & Journalism,Mass Media,Mass Media
Health,Treatment Therapy Professions,Treatment Therapy Professions
Business,Hospitality Management,Hospitality Management
Education,Language And Drama Education,Language & Drama Education
Humanities & Liberal Arts,Linguistics And Comparative Language And Literature,Linguistics & Comp. Language & Literature
Education,Miscellaneous Education,Miscellaneous Education
Social Science,Interdisciplinary Social Sciences,Interdisciplinary Social Sciences
Biology & Life Science,Ecology,Ecology
Education,Secondary Teacher Education,Secondary Teacher Education
Health,General Medical And Health Services,General Medical & Health Services
Humanities & Liberal Arts,Philosophy And Religious Studies,Philosophy & Religious Studies
Education,Art And Music Education,Art & Music Education
Humanities & Liberal Arts,English Language And Literature,English Language & Literature
Education,Elementary Education,Elementary Education
Industrial Arts & Consumer Services,Physical Fitness Parks Recreation And Leisure,Physical Fitness Parks Recreation & Leisure
Humanities & Liberal Arts,Liberal Arts,Liberal Arts
Arts,Film Video And Photographic Arts,Film Video & Photographic Arts
Social Science,General Social Sciences,General Social Sciences
Agriculture & Natural Resources,Plant Science And Agronomy,Plant Science & Agronomy
Education,Science And Computer Teacher Education,Science & Computer Teacher Education
Psychology & Social Work,Psychology,Psychology
Arts,Music,Music
Education,Physical And Health Education Teaching,Physical & Health Education Teaching
Humanities & Liberal Arts,Art History And Criticism,Art History & Criticism
Arts,Fine Arts,Fine Arts
Industrial Arts & Consumer Services,Family And Consumer Sciences,Family & Consumer Sciences
Psychology & Social Work,Social Work,Social Work
Agriculture & Natural Resources,Animal Sciences,Animal Sciences
Arts,Visual And Performing Arts,Visual & Performing Arts
Education,Teacher Education: Multiple Levels,Teacher Education: Multiple Levels
Psychology & Social Work,Miscellaneous Psychology,Miscellaneous Psychology
Psychology & Social Work,Human Services And Community Organization,Human Services & Community Organization
Humanities & Liberal Arts,Humanities,Humanities
Humanities & Liberal Arts,Theology And Religious Vocations,Theology & Religious Vocations
Arts,Studio Arts,Studio Arts
Industrial Arts & Consumer Services,Cosmetology Services And Culinary Arts,Cosmetology Services & Culinary Arts
Agriculture & Natural Resources,Miscellaneous Agriculture,Miscellaneous Agriculture
Humanities & Liberal Arts,Anthropology And Archeology,Anthropology & Archeology
Health,Communication Disorders Sciences And Services,Communic. Disorders Sciences & Services
Education,Early Childhood Education,Early Childhood Education
Humanities & Liberal Arts,Other Foreign Languages,Other Foreign Languages
Arts,Drama And Theater Arts,Drama & Theater Arts
Humanities & Liberal Arts,Composition And Rhetoric,Composition & Rhetoric
Biology & Life Science,Zoology,Zoology
Psychology & Social Work,Educational Psychology,Educational Psychology
Psychology & Social Work,Clinical Psychology,Clinical Psychology
Psychology & Social Work,Counseling Psychology,Counseling Psychology
Education,Library Science,Library Science
